born | C:BIRTH
accepts | C:STATEMENT
accept | C:STATEMENT
acclaim | C:STATEMENT
acclaimed | C:STATEMENT
acclaims  | C:STATEMENT
accomplishment | C:CREATION	
accomplishments | C:CREATION	
accomplished | C:CREATION	
accomplishes | C:CREATION	
acknowledgement | C:STATEMENT	
acknowledgements | C:STATEMENT	
acknowledged | C:STATEMENT
acknowledges | C:STATEMENT
admiration | C:STATEMENT
admirations | C:STATEMENT
admire | C:STATEMENT
admires | C:STATEMENT
admired | C:STATEMENT
adoration | C:STATEMENT
adorations | C:STATEMENT
adore | C:STATEMENT
adores | C:STATEMENT
adored | C:STATEMENT
affirmation	| C:STATEMENT
affirmations	| C:STATEMENT
affirm | C:STATEMENT
affirms | C:STATEMENT
affirmed | C:STATEMENT
agreement | C:STATEMENT
agreements | C:STATEMENT
agree | C:STATEMENT
agreed | C:STATEMENT
agrees | C:STATEMENT
allegation | C:STATEMENT
allegations | C:STATEMENT
allege | C:STATEMENT
alleged | C:STATEMENT
alleges | C:STATEMENT
announcement | C:STATEMENT
announcements | C:STATEMENT
announce | C:STATEMENT
announced | C:STATEMENT
announces | C:STATEMENT
annoyance | C:STATEMENT
annoy | C:STATEMENT
annoyed | C:STATEMENT
annoyes | C:STATEMENT
annulment | C:STATEMENT
annulments | C:STATEMENT
annul | C:STATEMENT
annuls | C:STATEMENT
annuled | C:STATEMENT
answer | C:STATEMENT
answers | C:STATEMENT
answeres | C:STATEMENT
applause | C:STATEMENT	
applauses | C:STATEMENT	
applaud | C:STATEMENT
applauded | C:STATEMENT
applauds | C:STATEMENT
appraisal | C:STATEMENT
appraisals | C:STATEMENT
appraise | C:STATEMENT
appraised | C:STATEMENT
appraises | C:STATEMENT
appreciation | C:STATEMENT
appreciations | C:STATEMENT
appreciate | C:STATEMENT
appreciated | C:STATEMENT
appreciates | C:STATEMENT
approbation | C:STATEMENT
approbations | C:STATEMENT
approve | C:STATEMENT
approves | C:STATEMENT
approved | C:STATEMENT
appropriation | C:STATEMENT
appropriations | C:STATEMENT
appropriate | C:STATEMENT
appropriates | C:STATEMENT
appropriated | C:STATEMENT
approval | C:STATEMENT
approvals | C:STATEMENT
approve | C:STATEMENT
approved | C:STATEMENT
approves | C:STATEMENT
articulation | C:STATEMENT
articulations | C:STATEMENT
articulate | C:STATEMENT
articulated | C:STATEMENT
articulates | C:STATEMENT
astonishment | C:STATEMENT
astonishments | C:STATEMENT
astonishes | C:STATEMENT
astonishe | C:STATEMENT
astonished | C:STATEMENT
authentication | C:STATEMENT
authentications | C:STATEMENT
authenticate | C:STATEMENT
authenticates | C:STATEMENT
authenticated | C:STATEMENT
betrayal | C:STATEMENT
betray | C:STATEMENT
betrays | C:STATEMENT
betrayed | C:STATEMENT
bewilderment | C:STATEMENT
bewilderments | C:STATEMENT
bewilder | C:STATEMENT
bewilders | C:STATEMENT
bewildered | C:STATEMENT
blame | C:STATEMENT
blames | C:STATEMENT
blamed | C:STATEMENT
calculation | C:STATEMENT
calculations | C:STATEMENT
calculate | C:STATEMENT
calculated | C:STATEMENT
calculates | C:STATEMENT
certification | C:STATEMENT
certifications | C:STATEMENT
certify | C:STATEMENT
certifies | C:STATEMENT
certified | C:STATEMENT
citation | C:STATEMENT
citations | C:STATEMENT
cite | C:STATEMENT
cited | C:STATEMENT
cites | C:STATEMENT
claim | C:STATEMENT
claimed | C:STATEMENT
claims | C:STATEMENT
clarification | C:STATEMENT
clarifications | C:STATEMENT
clarify | C:STATEMENT
clarifies | C:STATEMENT
clarified | C:STATEMENT
comment | C:STATEMENT
comments | C:STATEMENT
commented | C:STATEMENT
commentary | C:STATEMENT
commentaries | C:STATEMENT
comment | C:STATEMENT
comments | C:STATEMENT
commented | C:STATEMENT
commitment | C:STATEMENT
commitments | C:STATEMENT
commit | C:STATEMENT
commited | C:STATEMENT
commites | C:STATEMENT
communication | C:STATEMENT
communications | C:STATEMENT
communicate | C:STATEMENT
communicated | C:STATEMENT
communicates | C:STATEMENT
complaint | C:STATEMENT
complaints | C:STATEMENT
complain | C:STATEMENT
complained | C:STATEMENT
complaines | C:STATEMENT
conclusion | C:STATEMENT
conclusions | C:STATEMENT
conclude | C:STATEMENT
concluded | C:STATEMENT
concludes | C:STATEMENT
condemnation | C:STATEMENT
condemnations | C:STATEMENT
condemn | C:STATEMENT
condemned | C:STATEMENT
condemns | C:STATEMENT
consent | C:STATEMENT
consentes | C:STATEMENT
consented | C:STATEMENT
consideration | C:STATEMENT
considerations | C:STATEMENT
consider | C:STATEMENT
considered | C:STATEMENT
consideres | C:STATEMENT
contemplation | C:STATEMENT
contemplations | C:STATEMENT
contemplate | C:STATEMENT
contemplated | C:STATEMENT
contemplates | C:STATEMENT
criticism | C:STATEMENT
criticisms | C:STATEMENT
criticize | C:STATEMENT
criticized | C:STATEMENT
criticizes | C:STATEMENT
debate | C:STATEMENT
debates | C:STATEMENT
debated | C:STATEMENT
declaration | C:STATEMENT
declarations | C:STATEMENT
declare | C:STATEMENT
declared | C:STATEMENT
declares | C:STATEMENT
deliberation | C:STATEMENT
deliberations | C:STATEMENT
deliberate | C:STATEMENT
deliberates | C:STATEMENT
deliberated | C:STATEMENT
denunciation | C:STATEMENT
denunciations | C:STATEMENT
denounce | C:STATEMENT
denounced | C:STATEMENT
denounces | C:STATEMENT
denial | C:STATEMENT
denials | C:STATEMENT
deny | C:STATEMENT
denied | C:STATEMENT
denies | C:STATEMENT
desire | C:STATEMENT
desires | C:STATEMENT
desired | C:STATEMENT
disappointment | C:STATEMENT
disappointments | C:STATEMENT
disappoint | C:STATEMENT
disappoints | C:STATEMENT
disappointed | C:STATEMENT
disapprobation | C:STATEMENT
disapprobation | C:STATEMENT
disapprove | C:STATEMENT
disapproves | C:STATEMENT
disapproved | C:STATEMENT
disapproval | C:STATEMENT
disapprovals | C:STATEMENT
disapprove | C:STATEMENT
disapproved | C:STATEMENT
disapproves | C:STATEMENT
disagreement | C:STATEMENT
disagreements | C:STATEMENT
disagree | C:STATEMENT
disagreed | C:STATEMENT
disagrees | C:STATEMENT
disbelief | C:STATEMENT
disbeliefs | C:STATEMENT
disbelieve | C:STATEMENT
disbelieved | C:STATEMENT
disbelieves | C:STATEMENT
discouragement | C:STATEMENT
discouragements | C:STATEMENT
discourage | C:STATEMENT
discourages | C:STATEMENT
discouraged | C:STATEMENT
disfavor | C:STATEMENT
disfavors | C:STATEMENT
disfavored | C:STATEMENT
dismissal | C:STATEMENT
dismissals | C:STATEMENT
dismiss | C:STATEMENT
dismisses | C:STATEMENT
dismissed | C:STATEMENT
disregard | C:STATEMENT
disregards | C:STATEMENT
disregarded | C:STATEMENT
disregards | C:STATEMENT
dissatisfaction | C:STATEMENT
dissatisfactions | C:STATEMENT
dissatisfy | C:STATEMENT
dissatisfied | C:STATEMENT
dissatisfies | C:STATEMENT
dissemination | C:STATEMENT
disseminations | C:STATEMENT
disseminate | C:STATEMENT
disseminates | C:STATEMENT
disseminated | C:STATEMENT
distrust | C:STATEMENT
distrustes | C:STATEMENT
distrusts | C:STATEMENT
estimation | C:STATEMENT
estimations | C:STATEMENT
estimate | C:STATEMENT
estimates | C:STATEMENT
estimated | C:STATEMENT
exaggeration | C:STATEMENT
exaggerations | C:STATEMENT
exaggerate | C:STATEMENT
exaggerates | C:STATEMENT
exaggerated | C:STATEMENT
exclamation | C:STATEMENT
exclamations | C:STATEMENT
exclaim | C:STATEMENT
exclaims | C:STATEMENT
exclaimed | C:STATEMENT
excuse | C:STATEMENT
excused | C:STATEMENT
excuses | C:STATEMENT
explanation | C:STATEMENT
explanations | C:STATEMENT
explain | C:STATEMENT
explained | C:STATEMENT
explains | C:STATEMENT
forgiveness | C:STATEMENT
forgive | C:STATEMENT
forgave | C:STATEMENT
forgives | C:STATEMENT
formulation | C:STATEMENT
formulations | C:STATEMENT
formulate | C:STATEMENT
formulated | C:STATEMENT
formulates | C:STATEMENT
guarantee | C:STATEMENT
guarantees | C:STATEMENT
guaranteed | C:STATEMENT
hesitance | C:STATEMENT
hesitate | C:STATEMENT
hesitates | C:STATEMENT
hesitated | C:STATEMENT
hesitation | C:STATEMENT
hesitations | C:STATEMENT
judgment | C:STATEMENT
judgments | C:STATEMENT
judge | C:STATEMENT
judged | C:STATEMENT
judges | C:STATEMENT
justification | C:STATEMENT
justifications | C:STATEMENT
justify | C:STATEMENT
justified | C:STATEMENT
justifies | C:STATEMENT
manifestation | C:STATEMENT
manifestations | C:STATEMENT
manifest | C:STATEMENT
manifestes | C:STATEMENT
manifested | C:STATEMENT
nullification | C:STATEMENT
nullifications | C:STATEMENT
nullify | C:STATEMENT
nullified | C:STATEMENT
nullifies | C:STATEMENT
objection | C:STATEMENT
objections | C:STATEMENT
object | C:STATEMENT
objects | C:STATEMENT
objected | C:STATEMENT
opinion | C:STATEMENT
opinions | C:STATEMENT
opine | C:STATEMENT
opines | C:STATEMENT
opined | C:STATEMENT
perception | C:STATEMENT
perceptions | C:STATEMENT
perceive | C:STATEMENT
perceives | C:STATEMENT
perceived | C:STATEMENT
proposal | C:STATEMENT
proposals | C:STATEMENT
propose | C:STATEMENT
proposed | C:STATEMENT
proposes | C:STATEMENT
proposition | C:STATEMENT
propositions | C:STATEMENT
propose | C:STATEMENT
proposes | C:STATEMENT
proposed | C:STATEMENT
protest | C:STATEMENT
protests | C:STATEMENT
protested | C:STATEMENT
question | C:STATEMENT
questions | C:STATEMENT
questioned | C:STATEMENT
quotation | C:STATEMENT
quotations | C:STATEMENT
quote | C:STATEMENT
quotes | C:STATEMENT
quoted | C:STATEMENT
reaction | C:STATEMENT
reactions | C:STATEMENT
react | C:STATEMENT
reacts | C:STATEMENT
reacted | C:STATEMENT
reappraisal | C:STATEMENT
reappraisals | C:STATEMENT
reappraise | C:STATEMENT
reappraises | C:STATEMENT
reappraised | C:STATEMENT
reassessment | C:STATEMENT
reassessments | C:STATEMENT
reassess | C:STATEMENT
reassesses | C:STATEMENT
reassessed | C:STATEMENT
reassurance | C:STATEMENT
reassurances | C:STATEMENT
reassure | C:STATEMENT
reassured | C:STATEMENT
reassures | C:STATEMENT
recognition | C:STATEMENT
recognitions | C:STATEMENT
recognize | C:STATEMENT
recognized | C:STATEMENT
recognizes | C:STATEMENT
reconciliation | C:STATEMENT
reconciliations | C:STATEMENT
reconcile | C:STATEMENT
reconciles | C:STATEMENT
reconciled | C:STATEMENT
recommendation | C:STATEMENT
recommendations | C:STATEMENT
recommend | C:STATEMENT
recommended | C:STATEMENT
recommends | C:STATEMENT
reconsideration | C:STATEMENT
reconsiderations | C:STATEMENT
reconsider | C:STATEMENT
reconsidered | C:STATEMENT
reconsiders | C:STATEMENT
refusal | C:STATEMENT
refusals | C:STATEMENT
refuse | C:STATEMENT
refused | C:STATEMENT
refuses | C:STATEMENT
reinstatement | C:STATEMENT
reinstatements | C:STATEMENT
reinstate | C:STATEMENT
reinstated | C:STATEMENT
reinstates | C:STATEMENT
rejection | C:STATEMENT
rejections | C:STATEMENT
reject | C:STATEMENT
rejected | C:STATEMENT
rejects | C:STATEMENT
remark | C:STATEMENT
remarks | C:STATEMENT
remarked | C:STATEMENT
repentance | C:STATEMENT
repentances | C:STATEMENT
repent | C:STATEMENT
repents | C:STATEMENT
repented | C:STATEMENT
renunciation | C:STATEMENT
renunciations | C:STATEMENT
renounce | C:STATEMENT
renounces | C:STATEMENT
renounced | C:STATEMENT
reply | C:STATEMENT
replies | C:STATEMENT
replied | C:STATEMENT
report | C:STATEMENT
reports | C:STATEMENT
reported | C:STATEMENT
reportage | C:STATEMENT
review | C:STATEMENT
reviews | C:STATEMENT
reviewed | C:STATEMENT
revision | C:STATEMENT
revisions | C:STATEMENT
revise | C:STATEMENT
revises | C:STATEMENT
revised | C:STATEMENT
satisfaction | C:STATEMENT
satisfy | C:STATEMENT
satisfies | C:STATEMENT
satisfied | C:STATEMENT
speculation | C:STATEMENT
speculations | C:STATEMENT
speculate | C:STATEMENT
speculates | C:STATEMENT
speculated | C:STATEMENT
statement | C:STATEMENT
statements | C:STATEMENT
state | C:STATEMENT
states | C:STATEMENT
stated | C:STATEMENT
suggestion | C:STATEMENT
suggestions | C:STATEMENT
suggest | C:STATEMENT
suggests | C:STATEMENT
suggested | C:STATEMENT
support | C:STATEMENT
supported | C:STATEMENT
supports | C:STATEMENT
suppression | C:STATEMENT
suppressions | C:STATEMENT
suppress | C:STATEMENT
suppresses | C:STATEMENT
suppressed | C:STATEMENT
suspense | C:STATEMENT
suspenses | C:STATEMENT
suspend | C:STATEMENT
suspends | C:STATEMENT
suspended | C:STATEMENT
suspension | C:STATEMENT
suspensions | C:STATEMENT
suspicion | C:STATEMENT
suspicions | C:STATEMENT
suspect | C:STATEMENT
suspects | C:STATEMENT
suspected | C:STATEMENT
swearing | C:STATEMENT
swearings | C:STATEMENT
swear | C:STATEMENT
swears | C:STATEMENT
swore | C:STATEMENT
talk | C:STATEMENT
talks | C:STATEMENT
talked | C:STATEMENT
testament | C:STATEMENT
testaments | C:STATEMENT
testify | C:STATEMENT
testifies | C:STATEMENT
testified | C:STATEMENT
tolerance | C:STATEMENT
tolerances | C:STATEMENT
tolerate | C:STATEMENT
tolerates | C:STATEMENT
tolerated | C:STATEMENT
toleration | C:STATEMENT
tolerations | C:STATEMENT
utterance | C:STATEMENT
utterances | C:STATEMENT
utter | C:STATEMENT
utters | C:STATEMENT
uttered | C:STATEMENT
verification | C:STATEMENT
verifications | C:STATEMENT
verify | C:STATEMENT
verified | C:STATEMENT
verified | C:STATEMENT
veto | C:STATEMENT
vetos | C:STATEMENT
vetoed | C:STATEMENT
vetoes | C:STATEMENT
view | C:STATEMENT
views | C:STATEMENT
viewed | C:STATEMENT
withdrawal | C:STATEMENT
withdrawals | C:STATEMENT
withdraw | C:STATEMENT
withdrew | C:STATEMENT
withdrawn | C:STATEMENT
withdraws | C:STATEMENT
testimoni | C:STATEMENT
testimonials | C:STATEMENT
testify | C:STATEMENT
testifies | C:STATEMENT
testified | C:STATEMENT
testimony | C:STATEMENT
ruling | C:STATEMENT
rulings | C:STATEMENT
rule | C:STATEMENT
ruled | C:STATEMENT
rules | C:STATEMENT
restatement | C:STATEMENT
restatements | C:STATEMENT
restate | C:STATEMENT
restated | C:STATEMENT
restates | C:STATEMENT
request | C:STATEMENT
requests | C:STATEMENT
requested | C:STATEMENT
requirement | C:STATEMENT
requirements | C:STATEMENT
require | C:STATEMENT
required | C:STATEMENT
requires | C:STATEMENT
respect | C:STATEMENT
respects | C:STATEMENT
respected | C:STATEMENT
resignation | C:STATEMENT
resignations | C:STATEMENT
resign | C:STATEMENT
resigned | C:STATEMENT
resigns | C:STATEMENT
resistance | C:STATEMENT
resistances | C:STATEMENT
resist | C:STATEMENT
resists | C:STATEMENT
resisted | C:STATEMENT
resentment | C:STATEMENT
resentments | C:STATEMENT
resent | C:STATEMENT
resents | C:STATEMENT
resented | C:STATEMENT
repulsion | C:STATEMENT
repulsions | C:STATEMENT
repel | C:STATEMENT
repels | C:STATEMENT
repeled | C:STATEMENT
reproval | C:STATEMENT
reprovals | C:STATEMENT
reprove | C:STATEMENT
reproves | C:STATEMENT
reproved | C:STATEMENT
ratification | C:STATEMENT
ratifications | C:STATEMENT
ratify | C:STATEMENT
ratified | C:STATEMENT
ratifies | C:STATEMENT
advice | C:STATEMENT
advise | C:STATEMENT
advised | C:STATEMENT
advises | C:STATEMENT
apology | C:STATEMENT
apologies | C:STATEMENT
apologize | C:STATEMENT
apologized | C:STATEMENT
apologizes | C:STATEMENT
assurance | C:STATEMENT
assurances | C:STATEMENT
assure | C:STATEMENT
assures | C:STATEMENT
assured | C:STATEMENT
assessment | C:STATEMENT
assessments | C:STATEMENT
assess | C:STATEMENT
assesses | C:STATEMENT
assessed | C:STATEMENT
confirmation | C:STATEMENT
confirmations | C:STATEMENT
confirm | C:STATEMENT
confirms | C:STATEMENT
confirmed | C:STATEMENT
disillusion | C:STATEMENT
disillusions | C:STATEMENT
disillusioned | C:STATEMENT
disillusionment | C:STATEMENT
disillusionments | C:STATEMENT
disillusion | C:STATEMENT
disillusions | C:STATEMENT
disillusioned | C:STATEMENT
demonstration | C:STATEMENT
demonstrations | C:STATEMENT
demonstrate | C:STATEMENT
demonstrates | C:STATEMENT
demonstrated | C:STATEMENT
congratulation | C:STATEMENT
congratulation | C:STATEMENT
congratulate | C:STATEMENT
congratulated | C:STATEMENT
congratulates | C:STATEMENT
preoccupation | C:STATEMENT
preoccupations | C:STATEMENT
preoccupy | C:STATEMENT
preoccupies | C:STATEMENT
preoccupied | C:STATEMENT
observation | C:STATEMENT
observations | C:STATEMENT
observe | C:STATEMENT
observed | C:STATEMENT
observes | C:STATEMENT
miscalculation | C:STATEMENT
miscalculations | C:STATEMENT
miscalculate | C:STATEMENT
miscalculated | C:STATEMENT
miscalculates | C:STATEMENT
insistence | C:STATEMENT
insist | C:STATEMENT
insists | C:STATEMENT
insisted | C:STATEMENT
impression | C:STATEMENT
impressions | C:STATEMENT
impress | C:STATEMENT
impresses | C:STATEMENT
impressed | C:STATEMENT
glorification | C:STATEMENT
glorifications | C:STATEMENT
glorify | C:STATEMENT
glorifies | C:STATEMENT
glorified | C:STATEMENT
frustration | C:STATEMENT
frustrations | C:STATEMENT
frustrate | C:STATEMENT
frustrates | C:STATEMENT
frustrated | C:STATEMENT
fascination | C:STATEMENT
fascinations | C:STATEMENT
fascinate | C:STATEMENT
fascinated | C:STATEMENT
fascinates | C:STATEMENT
favoritism | C:STATEMENT
favor | C:STATEMENT
favors | C:STATEMENT
favored | C:STATEMENT
enquiry | C:STATEMENT
enquiries | C:STATEMENT
enquire | C:STATEMENT
enquires | C:STATEMENT
enquired | C:STATEMENT
endorsement | C:STATEMENT
endorsements | C:STATEMENT
endorse | C:STATEMENT
endorses | C:STATEMENT
endorsed | C:STATEMENT
encouragement | C:STATEMENT
encouragements | C:STATEMENT
encourage | C:STATEMENT
encouraged | C:STATEMENT
encourages | C:STATEMENT
embarrassment | C:STATEMENT
embarrassments | C:STATEMENT
embarrass | C:STATEMENT
embarrasses | C:STATEMENT
embarrassed | C:STATEMENT
proclamation | C:STATEMENT
proclamations | C:STATEMENT
proclaimed | C:STATEMENT
proclaimes | C:STATEMENT
proclaime | C:STATEMENT
enlightenment | C:STATEMENT
enlightenments | C:STATEMENT
enlighten | C:STATEMENT
enlightened | C:STATEMENT
enlightenes | C:STATEMENT
achievement | C:CREATION
achievements | C:CREATION
achieve | C:CREATION
achieved | C:CREATION
achieves | C:CREATION
activation | C:CREATION
activations | C:CREATION
activate | C:CREATION
activated | C:CREATION
activates | C:CREATION
addition | C:CREATION
additions | C:CREATION
added | C:CREATION
adds | C:CREATION
completion | C:CREATION
completions | C:CREATION
complete | C:CREATION
completed | C:CREATION
completes | C:CREATION
disintegration | C:CREATION
disintegrations | C:CREATION
disintegrate | C:CREATION
disintegrates | C:CREATION
disintegrated | C:CREATION
creation | C:CREATION
creations | C:CREATION
create | C:CREATION
creates | C:CREATION
created | C:CREATION
enhancement | C:CREATION
enhancements | C:CREATION
enhance | C:CREATION
enhances | C:CREATION
enhanced | C:CREATION
enlargement	| C:CREATION
enlargements | C:CREATION
enlarge | C:CREATION
enlarged | C:CREATION
enlarges | C:CREATION
evolution | C:CREATION
evolutions | C:CREATION
evolve | C:CREATION
evolved | C:CREATION
evolves | C:CREATION
implementation | C:CREATION
implementations | C:CREATION
implement | C:CREATION
implements | C:CREATION
implemented | C:CREATION
improvement | C:CREATION
improvements | C:CREATION
improve | C:CREATION
improved | C:CREATION
improves | C:CREATION
invention | C:CREATION
inventions | C:CREATION
invents | C:CREATION
invented | C:CREATION
launch | C:CREATION
launches | C:CREATION
launched | C:CREATION
modification | C:CREATION
modifications | C:CREATION
modify | C:CREATION
modifies | C:CREATION
modified | C:CREATION
modernization | C:CREATION
modernizations | C:CREATION
modernize | C:CREATION
modernized | C:CREATION
modernizes | C:CREATION
incorporation | C:CREATION
incorporations | C:CREATION
incorporate | C:CREATION
incorporates | C:CREATION
incorporated | C:CREATION
colonization | C:OWNERSHIP
colonizations | C:OWNERSHIP
colonize | C:OWNERSHIP
colonized | C:OWNERSHIP
colonizes | C:OWNERSHIP
possession | C:OWNERSHIP
possessions | C:OWNERSHIP
possess | C:OWNERSHIP
possesses | C:OWNERSHIP
possessed | C:OWNERSHIP
payment | C:OWNERSHIP
payments | C:OWNERSHIP
pay | C:OWNERSHIP
pays | C:OWNERSHIP
paid | C:OWNERSHIP
ownership | C:OWNERSHIP
ownerships | C:OWNERSHIP
own | C:OWNERSHIP
owns | C:OWNERSHIP
owned | C:OWNERSHIP
prepayment | C:OWNERSHIP
prepayments | C:OWNERSHIP
prepay | C:OWNERSHIP
prepaid | C:OWNERSHIP
prepays | C:OWNERSHIP
confrontation | C:INTERACTION
confrontations | C:INTERACTION
confront | C:INTERACTION
confronts | C:INTERACTION
confronted | C:INTERACTION
conversation | C:INTERACTION
conversations | C:INTERACTION
converse | C:INTERACTION
converses | C:INTERACTION
conversed | C:INTERACTION
deployment | C:ENGAGEMENT
deployments | C:ENGAGEMENT
deploy | C:ENGAGEMENT
deploys | C:ENGAGEMENT
deployed | C:ENGAGEMENT
cooperation | C:ENGAGEMENT
cooperations | C:ENGAGEMENT
cooperate | C:ENGAGEMENT
cooperates | C:ENGAGEMENT
cooperated | C:ENGAGEMENT
involvement | C:ENGAGEMENT
involvements | C:ENGAGEMENT
involve | C:ENGAGEMENT
involved | C:ENGAGEMENT
involves | C:ENGAGEMENT
interaction | C:ENGAGEMENT
interactions | C:ENGAGEMENT
interact | C:ENGAGEMENT
interacts | C:ENGAGEMENT
interacted | C:ENGAGEMENT
intercommunication | C:ENGAGEMENT
intercommunications | C:ENGAGEMENT
intercommunicate | C:ENGAGEMENT
intercommunicated | C:ENGAGEMENT
intercommunicates | C:ENGAGEMENT
engagement | C:ENGAGEMENT
engagements | C:ENGAGEMENT
engage | C:ENGAGEMENT
engaged | C:ENGAGEMENT
engages | C:ENGAGEMENT
employment | C:ENGAGEMENT
employments | C:ENGAGEMENT
employ | C:ENGAGEMENT
employed | C:ENGAGEMENT
employs | C:ENGAGEMENT
recruitment | C:ENGAGEMENT
recruitments | C:ENGAGEMENT
recruit | C:ENGAGEMENT
recruited | C:ENGAGEMENT
recruites | C:ENGAGEMENT
decree | C:LAW-RELATED
decrees | C:LAW-RELATED
decreed | C:LAW-RELATED
deregulation | C:LAW-RELATED
deregulations | C:LAW-RELATED
deregulate | C:LAW-RELATED
deregulates | C:LAW-RELATED
deregulated | C:LAW-RELATED
corruption | C:LAW-RELATED
corruptions | C:LAW-RELATED
corrupt | C:LAW-RELATED
corrupts | C:LAW-RELATED
corrupted | C:LAW-RELATED
conviction | C:LAW-RELATED
convictions | C:LAW-RELATED
convict | C:LAW-RELATED
convicts | C:LAW-RELATED
convicted | C:LAW-RELATED
legalization | C:LAW-RELATED
legalizations | C:LAW-RELATED
legalize | C:LAW-RELATED
legalizes | C:LAW-RELATED
legalized | C:LAW-RELATED
thievery | C:LAW-RELATED
thieve | C:LAW-RELATED
thieves | C:LAW-RELATED
displacement | C:LOCATION-RELATED
displacements | C:LOCATION-RELATED
displace | C:LOCATION-RELATED
displaced | C:LOCATION-RELATED
displaces | C:LOCATION-RELATED
deportment | C:LOCATION-RELATED
deportments | C:LOCATION-RELATED
deportation | C:LOCATION-RELATED
deportations | C:LOCATION-RELATED
deport | C:LOCATION-RELATED
deports | C:LOCATION-RELATED
deported | C:LOCATION-RELATED
flight | C:LOCATION-RELATED
flew | C:LOCATION-RELATED
flown | C:LOCATION-RELATED
flies | C:LOCATION-RELATED
fly | C:LOCATION-RELATED
removal | C:LOCATION-RELATED
removals | C:LOCATION-RELATED
remove | C:LOCATION-RELATED
removed | C:LOCATION-RELATED
relocation | C:LOCATION-RELATED
relocations | C:LOCATION-RELATED
relocate | C:LOCATION-RELATED
relocates | C:LOCATION-RELATED
relocated | C:LOCATION-RELATED
movement | C:LOCATION-RELATED
movements | C:LOCATION-RELATED
move | C:LOCATION-RELATED
moves | C:LOCATION-RELATED
moved | C:LOCATION-RELATED
evacuation | C:LOCATION-RELATED
evacuations | C:LOCATION-RELATED
evacuate | C:LOCATION-RELATED
evacuated | C:LOCATION-RELATED
transport | C:LOCATION-RELATED
transported | C:LOCATION-RELATED
transports | C:LOCATION-RELATED
convalescence | C:HEALTH-CONDITION
convalesce | C:HEALTH-CONDITION
convalesces | C:HEALTH-CONDITION
convalesced | C:HEALTH-CONDITION
disinfection | C:HEALTH-CONDITION
disinfections | C:HEALTH-CONDITION
disinfect | C:HEALTH-CONDITION
disinfects | C:HEALTH-CONDITION
disinfected | C:HEALTH-CONDITION
medication | C:HEALTH-CONDITION
medications | C:HEALTH-CONDITION
medicate | C:HEALTH-CONDITION
medicated | C:HEALTH-CONDITION
medicates | C:HEALTH-CONDITION
hospitalization | C:HEALTH-CONDITION
hospitalizations | C:HEALTH-CONDITION
hospitalize | C:HEALTH-CONDITION
hospitalized | C:HEALTH-CONDITION
hospitalizes | C:HEALTH-CONDITION
menstruation | C:HEALTH-CONDITION
menstruations | C:HEALTH-CONDITION
menstruate | C:HEALTH-CONDITION
menstruates | C:HEALTH-CONDITION
menstruated | C:HEALTH-CONDITION
amazement | C:STATEMENT
amazement | C:STATEMENT
amaze | C:STATEMENT
amazes | C:STATEMENT
amazed | C:STATEMENT
apprehension | C:STATEMENT
apprehensions | C:STATEMENT
apprehend | C:STATEMENT
apprehends | C:STATEMENT
apprehended | C:STATEMENT
assertion | C:STATEMENT
assertions | C:STATEMENT
assert | C:STATEMENT
asserts | C:STATEMENT
asserted | C:STATEMENT
cancellation | C:STATEMENT
cancellations | C:STATEMENT
cancel | C:STATEMENT
cancels | C:STATEMENT
canceled | C:STATEMENT
confession | C:STATEMENT
confessions | C:STATEMENT
confess | C:STATEMENT
confesses | C:STATEMENT
confessed | C:STATEMENT
description | C:STATEMENT
descriptions | C:STATEMENT
describe | C:STATEMENT
described | C:STATEMENT
describes | C:STATEMENT
irritation | C:STATEMENT
irritations | C:STATEMENT
irritate | C:STATEMENT
irritates | C:STATEMENT
irritated | C:STATEMENT
prediction | C:STATEMENT
predictions | C:STATEMENT
predict | C:STATEMENT
predicts | C:STATEMENT
predicted | C:STATEMENT
promise | C:STATEMENT
promises | C:STATEMENT
promised | C:STATEMENT
adjustment | C:CREATION
adjustments | C:CREATION
adjusts | C:CREATION
adjust | C:CREATION
adjusted | C:CREATION
experimentation | C:CREATION
experimentations | C:CREATION
experiment | C:CREATION
experiments | C:CREATION
experimented | C:CREATION
evaluation | C:CREATION
evaluations | C:CREATION
evaluate | C:CREATION
evaluated | C:CREATION
evaluates | C:CREATION
amendment | C:CREATION
amendments | C:CREATION
amend | C:CREATION
amends | C:CREATION
amended | C:CREATION
consolidation | C:CREATION
consolidations | C:CREATION
consolidate | C:CREATION
consolidates | C:CREATION
consolidated | C:CREATION
construction | C:CREATION
constructions | C:CREATION
construct | C:CREATION
constructs | C:CREATION
constructed | C:CREATION
correction | C:CREATION
corrections | C:CREATION
correct | C:CREATION
corrects | C:CREATION
corrected | C:CREATION
decomposition | C:CREATION
decompositions | C:CREATION
decompose | C:CREATION
decomposed | C:CREATION
decomposes | C:CREATION
demolition | C:CREATION
demolitions | C:CREATION
demolish | C:CREATION
demolishes | C:CREATION
demolished | C:CREATION
destruction | C:CREATION
destructions | C:CREATION
destroy | C:CREATION
destroyed | C:CREATION
destroys | C:CREATION
development | C:CREATION
developments | C:CREATION
develop | C:CREATION
develops | C:CREATION
developed | C:CREATION
devitalization | C:CREATION
devitalizations | C:CREATION
devitalize | C:CREATION
devitalized | C:CREATION
devitalizes | C:CREATION
discomposure | C:CREATION
discomposures | C:CREATION
